id,name,height,weight,base_experience,types,abilities,hp,attack,defense,speed,image_url
1,bulbasaur,7,69,64,"['grass', 'poison']","['overgrow', 'chlorophyll']",45,49,49,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,ivysaur,10,130,142,"['grass', 'poison']","['overgrow', 'chlorophyll']",60,62,63,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,venusaur,20,1000,263,"['grass', 'poison']","['overgrow', 'chlorophyll']",80,82,83,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,charmander,6,85,62,['fire'],"['blaze', 'solar-power']",39,52,43,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,charmeleon,11,190,142,['fire'],"['blaze', 'solar-power']",58,64,58,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,charizard,17,905,267,"['fire', 'flying']","['blaze', 'solar-power']",78,84,78,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,squirtle,5,90,63,['water'],"['torrent', 'rain-dish']",44,48,65,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,wartortle,10,225,142,['water'],"['torrent', 'rain-dish']",59,63,80,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,blastoise,16,855,265,['water'],"['torrent', 'rain-dish']",79,83,100,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,caterpie,3,29,39,['bug'],"['shield-dust', 'run-away']",45,30,35,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
11,metapod,7,99,72,['bug'],['shed-skin'],50,20,55,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,butterfree,11,320,198,"['bug', 'flying']","['compound-eyes', 'tinted-lens']",60,45,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
13,weedle,3,32,39,"['bug', 'poison']","['shield-dust', 'run-away']",40,35,30,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,kakuna,6,100,72,"['bug', 'poison']",['shed-skin'],45,25,50,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,beedrill,10,295,178,"['bug', 'poison']","['swarm', 'sniper']",65,90,40,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
16,pidgey,3,18,50,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']",40,45,40,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,pidgeotto,11,300,122,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']",63,60,55,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,pidgeot,15,395,216,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']",83,80,75,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,rattata,3,35,51,['normal'],"['run-away', 'guts', 'hustle']",30,56,35,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
